row_id,screen_name,tweet_text,location,lat_coord,lon_coord
21,DaTenar,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,"Paris, France",,
22,BerlinSandra78,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,Berlin ,,
23,craigbased,to catch up 1 facebook lost control of 50 million users’ data to cambridge analytica who weaponized it in the 2016 election 2 facebook has been freely giving backend data to ice without a warrant 3 facebook has been monitoring private calls and texts of android users ,,,
24,gillies_peter, just as i cannot make the grand sweeping statement that the possible use of facebook cambridge analytica data by the coalition did not sway the other 50 just saying,,,
25,rameshmedia,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,"los angeles, everywhere else",,
26,SamuelFennan,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,"Fontana, CA",,
27,Walsh3Sezwho,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,Indianapolis,,
28,KuTan57,a former cambridge analytica employee said the company absolutely planted fake news watch this video to learn how they used the data obtained from facebook these glimpses provide vital information about methods that fake news companies use ,Україна,,
29,kristarchy,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,southwest Denver,,
30,bittoyin,while facebook continues to fight its own system vulnerabilities were building an algorithm that will put an end to their troubles entirely here an article showing how people react to facebook’s data policies and the ongoing “breach of trust” scandal ,0x0DD720ddFCFb5e9aEd5E9E0A622A475CE72dcBB2,,
31,VinaigretteGirl,troubling that this industry rag is not making a distinction between deleting data vs derived data models did facebook instruct stroz friedberg to audit data models or just data if models aren’t audited the risk of a whitewash job here is distressing ,"Oxford, England",,
32,Rae0014,manipulations behind brexit trump victory could ‘certainly’ happen in canada historian via ,"Toronto, Ontario",,
33,jckthesword,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,"DC Metro Area, USA",,
34,talkcric, it’s the old ploy of the left accusing the opposition of what they’ve been guilty of in the past funny how george soros dumped his facebook stock shorted it started publicly attacking it then the cambridge analytica story is put in play,,,
35,BuyerGV,advertisers threatened to abandon facebook as zuckerberg apologized for mistakes the company made over the scandal we build our system to offer advertisers as well as other users full content protection to avoid such excesses ,,,
36,osoforo,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,,,
37,KuTan57,advertisers threatened to abandon facebook as zuckerberg apologized for mistakes the company made over the scandal we build our system to offer advertisers as well as other users full content protection to avoid such excesses ,Україна,,
38,OneMillionHouse,facebook users can get rs1138 lakh each for data breach via,London UK,,
39,_quantum_fx,users discover ‘horrifying’ truth about facebook as feds launch probe jake johnson as the fallout from facebook’s cambridge analytica scandal continued on monday with the federal trade commission’s ftc announcement that it is conducting a long overd… ,,,
40,hashtagshaming,cambridge analytica agreed to give a political action committee founded by john bolton data harvested from millions of facebook users documents released by parliament show ,,,
41,BuyerGV,this reportage from kenya shows how devastating can the issue with be facebook has responsibility not only for the us but for every country in the world that uses this platform that must be our and their top priority ,,,
42,TygerKrash,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,Ireland,,
43,kirkmurphy,it already clear that neither peter thiel nor palantir are going to suffer any serious consequences over their involvement in cambridge analytica facebook scandal just as they suffered none after team themis this is why were building pursuance,,,
44,falcos2012,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,"geordieland, england",,
45,HowieRegay,what happening at facebook a breakdown of the ongoing data story ,"Illinois, USA",,
46,TrulyRmbnctious,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,UK,,
47,daph2345,troubling that this industry rag is not making a distinction between deleting data vs derived data models did facebook instruct stroz friedberg to audit data models or just data if models aren’t audited the risk of a whitewash job here is distressing ,"Portland, OR",,
48,SuperRetroid,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,"Lake District, Great Britain",,
49,KuTan57,this reportage from kenya shows how devastating can the issue with be facebook has responsibility not only for the us but for every country in the world that uses this platform that must be our and their top priority ,Україна,,
50,CrystalRose126,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,"Ohio, USA",,
51,drwaheepsaad,how trump consultants exploited the facebook data of millions ,,,
52,Love_Cookin,‘of course there a wisconsin connection to the facebook scandal involving cambridge analytica and not surprisingly to some it involves longtime wisconsin gop operative mark block’ ,"Los Angeles, CA",,
53,patricknmahoney,ignore cambridge analytica scandal for a sec and recognize that gdpr plays right into the hands and moat of facebook’s model not that “anything good for facebook is bad for me” is necessarily my position altho a popular one but worth noting ,"San Francisco, CA",,
54,BuyerGV,while facebook continues to fight its own system vulnerabilities were building an algorithm that will put an end to their troubles entirely here an article showing how people react to facebook’s data policies and the ongoing “breach of trust” scandal ,,,
55,elijahwolfpack,i liked a video cambridge analytica and facebook are in trouble is it the end of,great lakes,,
56,jsgourevitch,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,London,,
57,lindarich48,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,"England, United Kingdom",,
58,jakazz1234,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,"Armchair, Lounge ",,
59,VeniceLaura,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,"UK / Venice, Italy",,
60,mnshpjrase,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,South East,,
61,PalomaStovall,troubling that this industry rag is not making a distinction between deleting data vs derived data models did facebook instruct stroz friedberg to audit data models or just data if models aren’t audited the risk of a whitewash job here is distressing ,,,
62,nonajay1957,the cambridge analytica scandal exposes the mistake in allowing companies like facebook to self regulate in the first place ,"Missouri, USA",,
63,butterflysmilin,troubling that this industry rag is not making a distinction between deleting data vs derived data models did facebook instruct stroz friedberg to audit data models or just data if models aren’t audited the risk of a whitewash job here is distressing ,Heaven and Earth.,,
64,ronaldtheraygun,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,"London, England",,
65,kaushiki_b,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,"London, England",,
66,leftarmisme,wonder how twitter investors feel watching facebook take a hammering over serving its users on a plate to cambridge analytica i cant wait for the tweetle blower wholl tell us who sold and paid for all the clonebots,The Red Room,,
67,iiimagineiii,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,Canada,,
68,RLukeDuBois,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,"New York, NY, USA",,
69,RaviKan91510735, hahahahamodi will leak our data to facebook or cambridge analyticalooser modi wait for 2019 elections😡🤪,,,
70,97c0292a9a15454,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,,,
71,NekoKirameki,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,"Earth, Solar System",,
72,SookieStakHaus,mark zuckerberg will testify before congress in an attempt to save the failing cia psy op sure cambridge analytica stole 50 million people data but fb has data on 1 billion users which they actively sell wake up right now ,"Texas, USA",,
73,lgscotland,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,Earth,,
74,weezieparrish,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,United States,,
75,SebastosPublius,it already clear that neither peter thiel nor palantir are going to suffer any serious consequences over their involvement in cambridge analytica facebook scandal just as they suffered none after team themis this is why were building pursuance,Pacifica CA —» Biloxi MS,,
76,sunnydays045,corbyn’s “facebook hate factory” in the sunday times amp hammering the electoral commission funny i think i saw this story already surfacecambridge analytica brexit 😏 good attempt by govt’s puppetmasters at deflecting the whistleblower accusations of cheating ,England,,
77,bravehearttexas,obama mined facebook entirely before cambridge analytica ,United States,,
78,aigiz31,a former cambridge analytica employee said the company absolutely planted fake news watch this video to learn how they used the data obtained from facebook these glimpses provide vital information about methods that fake news companies use ,,,
79,jospencegames,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,United States,,
80,jetstreamnews,retweeted qanon mark zuckerberg will testify before congress in an attempt to save the failing cia psy op sure cambridge analytica stole 50 million people data but fb has data on 1 billion ,Spencer NC,,
81,jetstreamnews,mark zuckerberg will testify before congress in an attempt to save the failing cia psy op sure cambridge analytica stole 50 million people data but fb has data on 1 billion users which they actively sell wake up right now ,Spencer NC,,
82,AliAdair22,‘of course there a wisconsin connection to the facebook scandal involving cambridge analytica and not surprisingly to some it involves longtime wisconsin gop operative mark block’ ,"Alexandria, VA",,
83,Cllr_McVitie,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,Craiglang. Glasgow,,
84,mdibrah09315043,a former cambridge analytica employee said the company absolutely planted fake news watch this video to learn how they used the data obtained from facebook these glimpses provide vital information about methods that fake news companies use ,,,
85,GillWatsonChef,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,,,
86,aigiz31,while facebook continues to fight its own system vulnerabilities were building an algorithm that will put an end to their troubles entirely here an article showing how people react to facebook’s data policies and the ongoing “breach of trust” scandal ,,,
87,dergrexxie,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,"Centerville, Utah",,
88,ashman06,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,UK ,,
89,mdibrah09315043,while facebook continues to fight its own system vulnerabilities were building an algorithm that will put an end to their troubles entirely here an article showing how people react to facebook’s data policies and the ongoing “breach of trust” scandal ,,,
90,imvotinglabour,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,Manchester,,
91,KuTan57,while facebook continues to fight its own system vulnerabilities were building an algorithm that will put an end to their troubles entirely here an article showing how people react to facebook’s data policies and the ongoing “breach of trust” scandal ,Україна,,
92,plin_rn,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,"New York, USA",,
93,KatherineGWhite,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,North of the M25,,
94,aigiz31,advertisers threatened to abandon facebook as zuckerberg apologized for mistakes the company made over the scandal we build our system to offer advertisers as well as other users full content protection to avoid such excesses ,,,
95,pepperliker,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,,,
96,IUmanu,mark zuckerberg will testify before congress in an attempt to save the failing cia psy op sure cambridge analytica stole 50 million people data but fb has data on 1 billion users which they actively sell wake up right now ,Canada,,
97,Fran5456,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,"North West, England",,
98,aigiz31,this reportage from kenya shows how devastating can the issue with be facebook has responsibility not only for the us but for every country in the world that uses this platform that must be our and their top priority ,,,
99,UKIPNFKN,manipulations behind brexit trump victory could ‘certainly’ happen in canada historian via ,United Kingdom,,
100,paulpaetz,how cambridge analytica’s facebook targeting model really worked dimension reduction like using lower rez photo to simplify processing is similar data strategy to netflix movie recommendations ,,,
101,kathmandu4,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,,,
102,RachelisWINNING,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,In a van down by the river.,,
103,BrandinyourHand,mark ritson marketers’ silence on cambridge analytica speaks volumes do we not want to talk about segmentation and attitudinal profiling ,"Cambridge, UK",,
104,GhostfaceKHZ,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,"Washington, DC",,
105,janwaspi,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,stoke on trent,,
106,esme_hornbeam,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,"England, United Kingdom",,
107,jmcminn1076,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,California Republic,,
108,rlizgrossman,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,California,,
109,mdibrah09315043,advertisers threatened to abandon facebook as zuckerberg apologized for mistakes the company made over the scandal we build our system to offer advertisers as well as other users full content protection to avoid such excesses ,,,
110,DeadPrecariat,it already clear that neither peter thiel nor palantir are going to suffer any serious consequences over their involvement in cambridge analytica facebook scandal just as they suffered none after team themis this is why were building pursuance,Laniakea Supercluster,,
111,ollieclark,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,Leeds,,
112,AndersCNM,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,"Oxford, England",,
113,jogeo,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,San Francisco,,
114,Bob_Stinson1234,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,"Minneapolis, MN",,
115,mdibrah09315043,this reportage from kenya shows how devastating can the issue with be facebook has responsibility not only for the us but for every country in the world that uses this platform that must be our and their top priority ,,,
116,sashatalebi,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,,,
117,beccanalia,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,,,
118,keithsunderlan3,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,,,
119,iEcoSocNet,reclaiming the net from surveillance capitalism best thing i’ve read on cambridge analytica by ,,,
120,ashireesh,i just published “facebook cambridge analytica is a non issue the elephant in the room is something different” ,"atlanta, ga",,
121,Exasper8ed, you can thank cambridge analytica facebook and putin for that,"Secret Society Tree Fort, NY",,
122,GeneralStrikeUS,underground resistance how cambridge analytica turned facebook ‘likes’ in ,"Ca, USA",,
123,joe23gavbrown,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,PA.,,
124,MisterChunder,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,,,
125,kuantancurls,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,Scotland ,,
126,jo2hu4,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,,,
127,DebbieWilcox1,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,Newport South Wales,,
128,justinhendrix,youre in control of privacy and security says facebook except youre not at least when it comes to apps facebook makes it difficult and sometimes even impossible for users to assert control over their personal data ,NYC,,
129,Lucyna01,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,Basingstoke  UK,,
130,NewScot2,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,"Scotland, United Kingdom",,
131,lilacswan1,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,"Camden Town, London",,
132,HettiVonG,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,Marburg DE & in your base.,,
133,mark_apis8888,a former cambridge analytica employee said the company absolutely planted fake news watch this video to learn how they used the data obtained from facebook these glimpses provide vital information about methods that fake news companies use ,,,
134,mark_apis8888,advertisers threatened to abandon facebook as zuckerberg apologized for mistakes the company made over the scandal we build our system to offer advertisers as well as other users full content protection to avoid such excesses ,,,
135,SunnyBlondie,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,"Tulsa, OK",,
136,SuperRetroid,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,"Lake District, Great Britain",,
137,SuperRetroid,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,"Lake District, Great Britain",,
138,magapanthus,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,,,
139,mark_apis8888,this reportage from kenya shows how devastating can the issue with be facebook has responsibility not only for the us but for every country in the world that uses this platform that must be our and their top priority ,,,
140,MadeinMenlo, the brutal truth is sells humans their data their whereabouts their text messages and phones just like a spy agency because it was funded by spy agency look up cia division inqtel billionaires camp funding gov in com ,Sunny California,,
141,TFE61,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,"Gloucester, UK",,
142,MontanaSkullzx5,seven hours ahead of publishing this article cambridge analytica threatened to sue it was nothing to do with facebook data it was the link to aggegateiq to vote leave to brexit ,"Montana, USA",,
143,MadeinMenlo, the brutal truth is sells humans their data their whereabouts their text messages and phones just like a spy agency because it was funded by spy agency look up cia division inqtel billionaires camp funding gov in com ,Sunny California,,
144,Byline_Media,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,London,,
145,mark_apis8888,while facebook continues to fight its own system vulnerabilities were building an algorithm that will put an end to their troubles entirely here an article showing how people react to facebook’s data policies and the ongoing “breach of trust” scandal ,,,
146,Welshboy_Mark,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,South Wales,,
147,CrystalRose126,the cambridge analytica scandal exposes the mistake in allowing companies like facebook to self regulate in the first place ,"Ohio, USA",,
148,otivar55,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,Corrupt epicentre LONDON,,
149,MalineePompinit,british prime very concerned by abuse reports ,"Bangkok, Thailand",,
150,CmiloseMilose,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,"Shelby, MI",,
151,MaryBWest1,so spanky you have issues with governor brown lmao who on your wh staff is under investigation for a kidnapping plot and being involved with cambridge analytica that used stolen facebook users info michael flynn let pursue this further,,,
152,susanmddem,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,"Maryland, USA",,
153,MadeinMenlo, wow i love 🇦🇺 never trusted to begin with 🌐🌏🌍🌎🌐 damned i must be and not know it ,Sunny California,,
154,tedrobak,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,Fredericton,,
155,MadeinMenlo, wow i love 🇦🇺 never trusted to begin with 🌐🌏🌍🌎🌐 damned i must be and not know it ,Sunny California,,
156,scarletwindsor,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,,,
157,ShelShoK9s,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,,,
158,Karenldub,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,Oceanside Ca.,,
159,denisesaturn, so have you been indicted yet the amp says hi 👋🏾✌️ ,"Former USA, Now ""New Russia"" ",,
160,LetsFight4tUSA,the truth about the cambridge analytica scandal is bigger than just facebook ,United States,,
161,OdonnellEleanor,mark zuckerberg will testify before congress in an attempt to save the failing cia psy op sure cambridge analytica stole 50 million people data but fb has data on 1 billion users which they actively sell wake up right now ,,,
162,andrewfader,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,"New York, NY",,
163,coldweatherg1rl,special counsel robert mueller’s investigation of russian activity in the 2016 election now includes questions for cambridge analytica americans mostly support that investigation however 58 of republicans think trump is being framed by the fbi and doj ,,,
164,ajnelmes1,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,,,
165,JulieCh42576212,and here’s the email published by parliament that shows jeff silvester of aiq amp alexander nix of cambridge analytica working jointly on the facebook data they’ve both denied this repeatedly so here’s a q did vote leave have access to it or models derived from it ,,,
166,OorDayHasCome,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,"Stirling, Scotia",,
167,earriagada,what i am arguing is that cambridge analytica are not the puppet masters they are being widely portrayed asthey are much more akin to donald trump making widely exaggerated claims about their abilities and getting lots of attention as a result ,"Alameda 340, Santiago, Chile",,
168,MDOPrune,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,Nottingham,,
169,JmtDiva,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,Indiana,,
170,susanmddem,this week marked a major milestone for us parliament heard the story amp released the documents that prompted cambridge analytica’s legal action against us and it was nothing to do with facebook data ,"Maryland, USA",,
171,PracticalVoter,the fact that a bad actor like cambridge analytica was able to gain access to so much of facebook’s data to manipulate people is a sign that self regulation isn’t enough congress must work with tech leaders on nuanced regulation to make sure that this never happens again,,,
